company,category,careers_url
McKinsey,consulting,https://www.mckinsey.com/careers/search-jobs
BCG,consulting,https://careers.bcg.com/global/en/search-results
Bain,consulting,https://www.bain.com/careers/find-a-role/
Strategy&,consulting,https://jobs.us.pwc.com/
Oliver Wyman,consulting,https://careers.marshmclennan.com/global/en/oliver-wyman
Kearney,consulting,https://www.kearney.com/careers
L.E.K. Consulting,consulting,https://www.lek.com/join-lek
Roland Berger,consulting,https://www.rolandberger.com/en/Join/All-Jobs/
EY-Parthenon,consulting,https://careers.ey.com/
Deloitte,consulting,https://apply.deloitte.com/careers/SearchJobs
Accenture,consulting,https://www.accenture.com/us-en/careers/jobsearch
PwC,consulting,https://jobs.us.pwc.com/
KPMG,consulting,https://www.kpmguscareers.com/
Alvarez & Marsal,consulting,https://careers.alvarezandmarsal.com/
FTI Consulting,consulting,https://fticonsult.referrals.selectminds.com/
West Monroe,consulting,https://www.westmonroe.com/careers
Altman Solon,consulting,https://www.altmansolon.com/careers/
Analysis Group,consulting,https://www.analysisgroup.com/careers/
Cornerstone Research,consulting,https://www.cornerstone.com/careers/
Charles River Associates,consulting,https://www.crai.com/careers/
NERA Economic Consulting,consulting,https://careers.marshmclennan.com/global/en/nera
ZS Associates,consulting,https://jobs.zs.com/
Simon-Kucher,consulting,https://www.simon-kucher.com/en/careers
Arthur D. Little,consulting,https://www.adlittle.com/en/careers
OC&C,consulting,https://www.occstrategy.com/en/careers/
Booz Allen Hamilton,consulting,https://careers.boozallen.com/
Guidehouse,consulting,https://careers.guidehouse.com/
Lumanity,consulting,https://lumanity.com/careers/
Goldman Sachs,markets_finance,https://higher.gs.com/
JPMorgan,markets_finance,https://careers.jpmorgan.com/global/en/students/programs
Morgan Stanley,markets_finance,https://www.morganstanley.com/people-opportunities/students-graduates
Bank of America,markets_finance,https://careers.bankofamerica.com/
Citi,markets_finance,https://jobs.citi.com/
Barclays,markets_finance,https://search.jobs.barclays/
UBS,markets_finance,https://www.ubs.com/global/en/careers.html
Deutsche Bank,markets_finance,https://careers.db.com/
HSBC,markets_finance,https://www.hsbc.com/careers
BNP Paribas,markets_finance,https://group.bnpparibas/en/careers
Societe Generale,markets_finance,https://careers.societegenerale.com/
Nomura,markets_finance,https://www.nomura.com/careers/
Jefferies,markets_finance,https://jefferies.wd1.myworkdayjobs.com/Jefferies
Lazard,markets_finance,https://lazard-careers.tal.net/
Evercore,markets_finance,https://www.evercore.com/careers/
Moelis,markets_finance,https://www.moelis.com/careers/
PJT Partners,markets_finance,https://pjtpartners.wd1.myworkdayjobs.com/
Centerview Partners,markets_finance,https://www.centerviewpartners.com/careers/
Rothschild & Co,markets_finance,https://www.rothschildandco.com/en/careers/
Qatalyst Partners,markets_finance,https://www.qatalyst.com/careers
Guggenheim Securities,markets_finance,https://careers.guggenheimpartners.com/
Macquarie,markets_finance,https://www.macquarie.com/us/en/careers.html
SMBC,markets_finance,https://www.smbcgroup.com/careers/
MUFG,markets_finance,https://careers.mufgamericas.com/
Scotiabank,markets_finance,https://jobs.scotiabank.com/
Wells Fargo,markets_finance,https://www.wellsfargojobs.com/
PIMCO,markets_finance,https://www.pimco.com/us/en/about-us/careers
BlackRock,markets_finance,https://careers.blackrock.com/
Fidelity,markets_finance,https://jobs.fidelity.com/
Capital Group,markets_finance,https://www.capitalgroup.com/about-us/careers.html
Wellington Management,markets_finance,https://www.wellington.com/en/careers
T. Rowe Price,markets_finance,https://www.troweprice.com/corporate/us/en/careers.html
Schroders,markets_finance,https://www.schroders.com/en/global/individual/careers/
State Street,markets_finance,https://careers.statestreet.com/
Jane Street,hedge_fund,https://www.janestreet.com/join-jane-street/open-roles/
Citadel,hedge_fund,https://www.citadel.com/careers/open-opportunities/
Citadel Securities,hedge_fund,https://www.citadelsecurities.com/careers/open-opportunities/
D. E. Shaw,hedge_fund,https://www.deshaw.com/careers
Point72,hedge_fund,https://careers.point72.com/
Two Sigma,hedge_fund,https://www.twosigma.com/careers/
Bridgewater,hedge_fund,https://www.bridgewater.com/people-and-culture/careers
AQR Capital Management,hedge_fund,https://www.aqr.com/About-Us/Careers
Balyasny Asset Management,hedge_fund,https://www.bamfunds.com/careers
Millennium,hedge_fund,https://www.mlp.com/careers/
Man Group,hedge_fund,https://www.man.com/careers
Marshall Wace,hedge_fund,https://www.mwam.com/careers
Brevan Howard,hedge_fund,https://www.brevanhoward.com/careers/
ExodusPoint,hedge_fund,https://www.exoduspoint.com/careers/
Soros Fund Management,hedge_fund,https://www.sorosfund.com/careers/
Schonfeld,hedge_fund,https://www.schonfeld.com/careers
Squarepoint,hedge_fund,https://www.squarepoint-capital.com/careers
Qube Research & Technologies,hedge_fund,https://www.qube-rt.com/careers/
Optiver,markets_finance,https://optiver.com/working-at-optiver/career-opportunities/
IMC,markets_finance,https://www.imc.com/us/careers/jobs
Hudson River Trading,markets_finance,https://www.hudsonrivertrading.com/careers/
Jump Trading,markets_finance,https://www.jumptrading.com/careers/
DRW,markets_finance,https://www.drw.com/work-at-drw
SIG,markets_finance,https://careers.sig.com/
Virtu Financial,markets_finance,https://www.virtu.com/careers/
Akuna Capital,markets_finance,https://akunacapital.com/careers
Five Rings,markets_finance,https://fiverings.com/careers/
Belvedere Trading,markets_finance,https://www.belvederetrading.com/careers
Flow Traders,markets_finance,https://www.flowtraders.com/careers
BP Trading & Shipping,markets_finance,https://www.bp.com/en/global/corporate/careers.html
Blackstone,strategy,https://www.blackstone.com/careers/students/
KKR,strategy,https://www.kkr.com/careers
Apollo,strategy,https://www.apollo.com/careers
Carlyle,strategy,https://www.carlyle.com/careers
EQT,strategy,https://eqtgroup.com/careers
Brookfield,strategy,https://www.brookfield.com/careers
Ares Management,strategy,https://www.aresmgmt.com/careers
Oaktree,strategy,https://www.oaktreecapital.com/careers
Warburg Pincus,venture_capital,https://www.warburgpincus.com/careers/
General Atlantic,venture_capital,https://www.generalatlantic.com/careers/
Insight Partners,venture_capital,https://www.insightpartners.com/careers/
TPG,venture_capital,https://www.tpg.com/careers
Vista Equity Partners,venture_capital,https://www.vistaequitypartners.com/careers/
Thoma Bravo,venture_capital,https://www.thomabravo.com/careers
Bain Capital,venture_capital,https://www.baincapital.com/careers
StepStone Group,venture_capital,https://www.stepstonegroup.com/careers/
Sequoia Capital,venture_capital,https://www.sequoiacap.com/jobs/
Andreessen Horowitz,venture_capital,https://a16z.com/about/jobs/
General Catalyst,venture_capital,https://www.generalcatalyst.com/careers
Bessemer Venture Partners,venture_capital,https://www.bvp.com/jobs
Lightspeed Venture Partners,venture_capital,https://lsvp.com/careers/
Accel,venture_capital,https://www.accel.com/careers
NEA,venture_capital,https://www.nea.com/careers
Founders Fund,venture_capital,https://foundersfund.com/
Index Ventures,venture_capital,https://www.indexventures.com/startup-jobs/
GV,venture_capital,https://www.gv.com/careers/
Google,product,https://www.google.com/about/careers/applications/jobs/results/
Microsoft,product,https://jobs.careers.microsoft.com/global/en/search
Amazon,product,https://www.amazon.jobs/en/search
Meta,product,https://www.metacareers.com/jobs/
Apple,product,https://jobs.apple.com/
Uber,product,https://www.uber.com/us/en/careers/list/
Airbnb,product,https://careers.airbnb.com/
Stripe,product,https://stripe.com/jobs/search
Block,product,https://block.xyz/careers/jobs
Robinhood,product,https://careers.robinhood.com/
Coinbase,product,https://www.coinbase.com/careers/positions
Datadog,product,https://careers.datadoghq.com/
Snowflake,product,https://careers.snowflake.com/
Databricks,ai,https://www.databricks.com/company/careers/open-positions
Palantir,ai,https://www.palantir.com/careers/
NVIDIA,ai,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite
Anthropic,ai,https://www.anthropic.com/careers/jobs
OpenAI,ai,https://openai.com/careers/search/
Perplexity,ai,https://www.perplexity.ai/hub/careers
Scale AI,ai,https://scale.com/careers
Cohere,ai,https://cohere.com/careers
Mistral AI,ai,https://mistral.ai/careers
Hugging Face,ai,https://apply.workable.com/huggingface/
xAI,ai,https://x.ai/careers
Applied Intuition,ai,https://www.appliedintuition.com/careers
Anduril,ai,https://www.anduril.com/open-roles/
Ramp,startups,https://jobs.ashbyhq.com/ramp
Brex,startups,https://www.brex.com/careers
Rippling,startups,https://www.rippling.com/careers
Figma,product,https://www.figma.com/careers/
Notion,product,https://www.notion.so/careers
Canva,product,https://www.canva.com/careers/
Plaid,startups,https://plaid.com/careers/
Mercury,startups,https://mercury.com/jobs
Deel,startups,https://www.deel.com/careers/
Vercel,startups,https://vercel.com/careers
